iter	Passed	Remaining
0	0	74
1	1	65
2	1	62
3	2	56
4	2	55
5	3	54
6	3	53
7	4	53
8	5	52
9	5	51
10	6	50
11	6	49
12	7	49
13	7	48
14	8	48
15	9	47
16	9	46
17	10	45
18	10	45
19	11	44
20	11	43
21	12	43
22	12	42
23	13	42
24	13	41
25	14	41
26	15	40
27	15	39
28	16	39
29	16	38
30	17	38
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	26	28
49	27	27
50	28	26
51	28	26
52	29	25
53	29	25
54	29	24
55	30	23
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	40	15
72	40	14
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	3
93	53	3
94	54	2
95	54	2
96	55	1
97	56	1
98	56	0
99	57	0
